Body,Head,Head Coverage,Standard Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional Variable
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Osimertinib   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Afatinib   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Atezolizumab  ?a  patientDrug  Other   ,?a  patientDrug  Pemetrexed,0.015873,1,1,22,22,22,?a
?a  hasGender  Male  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  ALK_Negative,0.056818,0.714286,0.714286,55,77,77,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasStage  IIIB  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pemetrexed,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Immunotherapy   ,?a  patientDrug  Pemetrexed,0.063492,0.666667,0.666667,88,132,132,?a
?a  hasGender  Female  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  patientDrug  Pemetrexed,0.031746,0.8,0.8,44,55,55,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Other   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.068182,0.857143,0.857143,66,77,77,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.079545,1,1,77,77,77,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  patientDrug  Pemetrexed,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.102273,1,1,99,99,99,?a
?a  hasAgeCategory  Young  ?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  ALK_Negative,0.102273,1,1,99,99,99,?a
?a  treatmentType  Molecular_Targeted_Therapy  ?a  treatmentType  Open_Surgical_Procedure   ,?a  patientDrug  Pemetrexed,0.007937,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.079545,1,1,77,77,77,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.113636,0.909091,0.909091,110,121,121,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.125,1,1,121,121,121,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.147727,1,1,143,143,143,?a
?a  hasBiomarker  EGFR_Positive  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.045455,0.666667,0.666667,44,66,66,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  ALK_Negative,0.136364,1,1,132,132,132,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Other   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasStage  IVA  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.102273,1,1,99,99,99,?a
?a  hasGender  Male  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.068182,1,1,66,66,66,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.079545,0.875,0.875,77,88,88,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.113636,1,1,110,110,110,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.136364,0.8,0.8,132,165,165,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.125,1,1,121,121,121,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  hasStage  IVA  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.113636,0.909091,0.909091,110,121,121,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.068182,0.857143,0.857143,66,77,77,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasGender  Male   ,?a  hasBiomarker  ALK_Negative,0.068182,1,1,66,66,66,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  ALK_Negative,0.079545,1,1,77,77,77,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  PDL1_Negative  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  patientDrug  Osimertinib   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasSmokingHabit  NonSmoker   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Other   ,?a  patientDrug  Pemetrexed,0.015873,0.666667,0.666667,22,33,33,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasGender  Female  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Young  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasStage  IVA  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasStage  IVA  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasRelapse_Progression  Relapse  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.079545,0.875,0.875,77,88,88,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasGender  Female   ,?a  hasBiomarker  ALK_Negative,0.113636,1,1,110,110,110,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.056818,0.833333,0.833333,55,66,66,?a
?a  hasAgeCategory  Young  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.079545,0.875,0.875,77,88,88,?a
?a  hasGender  Male  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ALK_Negative,0.068182,0.857143,0.857143,66,77,77,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IVA   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.113636,1,1,110,110,110,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasStage  IVA  ?a  patientDrug  Cisplatin   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasRelapse_Progression  No_Progression  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  hasStage  IIIC  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasStage  IVA  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasStage  IVA  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  hasGender  Female  ?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  ALK_Negative,0.079545,1,1,77,77,77,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.079545,0.875,0.875,77,88,88,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Surgery   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Durvalumab  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Open_Surgical_Procedure   ,?a  hasBiomarker  ALK_Negative,0.011364,0.5,0.5,11,22,22,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasRelapse_Progression  Relapse  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  treatmentType  Radiotherapy_To_Bone  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  treatmentType  Concurrent_Chemoradiotherapy  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  ALK_Negative,0.034091,0.6,0.6,33,55,55,?a
?a  hasBiomarker  PDL1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Other   ,?a  hasBiomarker  ALK_Negative,0.011364,0.5,0.5,11,22,22,?a
?a  hasStage  IVA  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.090909,1,1,88,88,88,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.068182,1,1,66,66,66,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.056818,1,1,55,55,55,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.102273,0.818182,0.818182,99,121,121,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Docetaxel  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.068182,0.857143,0.857143,66,77,77,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Osimertinib   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasGender  Male  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Daratumumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.056818,0.833333,0.833333,55,66,66,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Durvalumab   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Old  ?a  hasRelapse_Progression  No_Progression   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Old  ?a  hasGender  Female   ,?a  hasBiomarker  ALK_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Other   ,?a  hasBiomarker  ALK_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  hasGender  Male  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasGender  Male  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.045455,0.8,0.8,44,55,55,?a
?a  hasGender  Female  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.068182,0.75,0.75,66,88,88,?a
?a  hasGender  Male  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ALK_Negative,0.056818,0.833333,0.833333,55,66,66,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Osimertinib   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Afatinib   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  NonSmoker  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasGender  Male  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasGender  Male  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  MET_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  KRAS_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  RET_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Negative  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Atezolizumab  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.045455,1,1,44,44,44,?a
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  ALK_Negative,0.102273,0.818182,0.818182,99,121,121,?a
?a  patientDrug  Atezolizumab  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Osimertinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasGender  Male  ?a  patientDrug  Nintedanib   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Afatinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Gefitinib  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasAgeCategory  Old  ?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.079545,0.875,0.875,77,88,88,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasBiomarker  PDL1_Positive   ,?a  hasBiomarker  ROS1_Negative,0.056818,1,1,55,55,55,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ROS1_Negative,0.034091,0.75,0.75,33,44,44,?a
?a  patientDrug  Other  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Atezolizumab  ?a  treatmentType  Surgery   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Durvalumab  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasRelapse_Progression  No_Progression  ?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  patientDrug  Vinorelbine  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  hasRelapse_Progression  Progression  ?a  hasRelapse_Progression  Relapse   ,?a  hasBiomarker  ALK_Negative,0.011364,1,1,11,11,11,?a
?a  patientDrug  Osimertinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.034091,1,1,33,33,33,?a
?a  patientDrug  Afatinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IVA   ,?a  hasBiomarker  ROS1_Negative,0.056818,1,1,55,55,55,?a
?a  hasStage  IVA  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ROS1_Negative,0.034091,1,1,33,33,33,?a
?a  hasSmokingHabit  NonSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  ALK_Negative,0.022727,1,1,22,22,22,?a
?a  hasStage  IVA  ?a  patientDrug  Carboplatin   ,?a  hasBiomarker  ROS1_Negative,0.034091,1,1,33,33,33,?a
?a  hasStage  IVA  ?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  ROS1_Negative,0.022727,1,1,22,22,22,?a
?a  hasStage  IVA  ?a  patientDrug  Atezolizumab   ,?a  hasBiomarker  ROS1_Negative,0.011364,1,1,11,11,11,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ROS1_Negative,0.022727,0.666667,0.666667,22,33,33,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasStage  IVA   ,?a  hasBiomarker  ROS1_Negative,0.034091,1,1,33,33,33,?a
?a  hasAgeCategory  Young  ?a  hasStage  IVA   ,?a  hasBiomarker  ROS1_Negative,0.034091,1,1,33,33,33,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasSmokingHabit  NonSmoker   ,?a  hasBiomarker  ROS1_Negative,0.022727,1,1,22,22,22,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  EGFR_Positive   ,?a  hasBiomarker  ROS1_Negative,0.045455,0.571429,0.571429,44,77,77,?a
?a  hasStage  IVA  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasBiomarker  ROS1_Negative,0.011364,1,1,11,11,11,?a
